name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition,squareImage
Zhu Baoguo & family,Zhu,zhu-baoguo,zhu-baoguo,-3.082,54,pharmaceuticals,Healthcare,M,China,1488028203332,1722.774,1225,1225,
Bill Gates,Gates,bill-gates,bill-gates,112.185,61,Microsoft,Technology,M,United States,1488028203331,86356.824,1,1,http://specials-images.forbesimg.com/imageserve/57a344944bbe6f2005caa044/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=168&cropY2=912
Carlos Slim Helu,Slim Helu,carlos-slim-helu,carlos-slim-helu,-472.178,77,telecom,Telecom,M,Mexico,1488028203331,55297.646,6,6,
Amancio Ortega,Ortega,amancio-ortega,amancio-ortega,-508.929,80,retail,Fashion and Retail,M,Spain,1488028203331,69481.877,4,4,
Warren Buffett,Buffett,warren-buffett,warren-buffett,41.782,86,Berkshire Hathaway,Investments,M,United States,1488028203331,76253.948,2,2,http://specials-images.forbesimg.com/imageserve/57e586b44bbe6f24d1f892b0/416x416.jpg?background=000000&cropX1=43&cropX2=744&cropY1=21&cropY2=722
Larry Ellison,Ellison,larry-ellison,larry-ellison,224.788,72,Oracle,Technology,M,United States,1488028203331,53436.294,7,7,http://specials-images.forbesimg.com/imageserve/57e579cc4bbe6f24d1f891e0/416x416.jpg?background=000000&cropX1=138&cropX2=605&cropY1=29&cropY2=496
Charles Koch,Koch,charles-koch,charles-koch,0,81,diversified,Diversified,M,United States,1488028203331,48467.74,8,8,http://specials-images.forbesimg.com/imageserve/56d0bf7be4b0c144a7f65b3d/416x416.jpg?background=000000&cropX1=169&cropX2=597&cropY1=61&cropY2=490
David Koch,Koch,david-koch,david-koch,0,76,diversified,Diversified,M,United States,1488028203331,48467.74,8,9,http://specials-images.forbesimg.com/imageserve/57e5740431358e16c589dcd3/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=16&cropY2=760
Sheldon Adelson,Adelson,sheldon-adelson,sheldon-adelson,172.805,83,casinos,Gaming,M,United States,1488028203331,30428.118,20,20,http://specials-images.forbesimg.com/imageserve/57e5856fa7ea430a8a1a2c35/416x416.jpg?background=000000&cropX1=58&cropX2=583&cropY1=61&cropY2=586
Christy Walton,Walton,christy-walton,christy-walton,65.466,62,Wal-Mart,Fashion and Retail,F,United States,1488028203331,5600.147,279,279,http://specials-images.forbesimg.com/imageserve/f12075ee278b0ce676c90b51cc5e60d6/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=87&cropY2=831
Jim Walton,Walton,jim-walton,jim-walton,445.952,69,Wal-Mart,Fashion and Retail,M,United States,1488028203331,35527.206,16,16,
Liliane Bettencourt,Bettencourt,liliane-bettencourt,liliane-bettencourt,-265.544,94,L'Oreal,Fashion and Retail,F,France,1488028203331,39284.14,14,14,
Stefan Persson,Persson,stefan-persson,stefan-persson,-374.257,69,H&M,Fashion and Retail,M,Sweden,1488028203331,19272.357,44,44,
